ID,Fit_sep_IGT_Arew,Fit_sep_IGT_Apun,Fit_sep_IGT_K,Fit_sep_IGT_betaF,Fit_sep_IGT_betaP,Fit_sep_SIGT_v1_Arew,Fit_sep_SIGT_v1_Apun,Fit_sep_SIGT_v1_K,Fit_sep_SIGT_v1_betaF,Fit_sep_SIGT_v1_betaP,Fit_sep_SIGT_v2_Arew,Fit_sep_SIGT_v2_Apun,Fit_sep_SIGT_v2_K,Fit_sep_SIGT_v2_betaF,Fit_sep_SIGT_v2_betaP,Fit_sep_SIGT_v3_Arew,Fit_sep_SIGT_v3_Apun,Fit_sep_SIGT_v3_K,Fit_sep_SIGT_v3_betaF,Fit_sep_SIGT_v3_betaP
7050,0.15595591,0.134432512,0.067703718,1.339291901,1.28885589,0.002553477,0.455346626,0.04422971,1.636688157,1.471597086,0.003091318,0.441538575,0.045144489,1.70573885,1.477746029,0.002842664,0.537217186,0.040464286,1.370606215,1.456445438
7051,0.262192679,0.156551698,0.044270283,1.08410149,0.701500774,0.000645513,0.405875766,0.049651323,1.130094099,1.682835258,0.000682146,0.377674727,0.049364509,1.180192149,1.68745606,0.000820422,0.447594416,0.050946987,0.647883147,1.922436916
7052,0.196633113,0.034987935,0.074678765,1.699910159,1.21385501,0.001572162,0.408634569,0.042422092,1.466306357,2.264763653,0.00186716,0.378531104,0.043521765,1.545868895,2.244600872,0.001662828,0.484081097,0.038611535,1.12152325,2.392089192
7053,0.126861427,0.051066345,0.054144917,0.992789694,0.816575813,0.003203816,0.37753679,0.045457811,0.891340448,0.285795878,0.003666596,0.338659483,0.046168315,0.964419201,0.335787475,0.003473177,0.437735597,0.042971232,0.810957996,0.164052172
7054,0.092444553,0.181564795,0.111516706,0.922516264,2.148657584,0.000977994,0.366234102,0.04583619,0.742347471,0.596516407,0.001147923,0.321168523,0.046418038,0.802895583,0.608788769,0.001403726,0.411054572,0.044562744,0.352168535,0.740027201
7055,0.332966128,0.021946802,0.044355005,1.660620905,1.484866269,0.006115761,0.39212134,0.044827619,1.314692672,0.263843992,0.006888312,0.355769716,0.045487255,1.403683001,0.364533975,0.006394233,0.465036587,0.042374043,1.008043212,0.289348709
7056,0.134099599,0.196826056,0.06860425,1.82710211,1.461533394,0.001278898,0.389418645,0.054898033,0.862714162,2.434953088,0.001647754,0.35141756,0.053592822,0.917129807,2.419629678,0.001686574,0.454246343,0.058394662,0.497869238,2.561794005
7057,0.056705394,0.092963913,0.092331131,0.608309747,1.814243265,0.000413402,0.415055415,0.046321261,0.922067672,0.604985058,0.000463252,0.390448528,0.046734181,0.949169233,0.62686495,0.000593307,0.440660625,0.045825547,0.438568366,0.829090661
7058,0.149926185,0.027103278,0.061808157,1.719254839,-0.122828121,0.008872679,0.355720504,0.045777197,1.097162904,1.034856568,0.009339509,0.3072345,0.046640208,1.235598252,1.212023588,0.009050968,0.396640354,0.043514947,0.909174458,1.018294184
7059,0.307808877,0.094703699,0.055992286,0.996343919,0.318125421,0.003283725,0.408193561,0.043294453,1.357792505,0.544174863,0.003701898,0.379600814,0.04433139,1.436589131,0.562270534,0.003687602,0.481796635,0.039220173,1.009859069,0.661488586
